story,genre
يقدم صانعو الافلام في جميع انحاء العالم قصيره باسلوب عصر الشجاعه,['رعب']
كان وانغ ون تشونغ ويي مينج تشو في حاله حب منذ سبع سنوات لكن علاقتهما في حيره يديرون وكاله سفريات احتياليه في منغبا في احد الايام صادفوا السيد تشين بسبب الحظ الذي سرعان ما وضع ثقته فيهم واستثمر الف يوان في اعمالهم بفرح واثاره اخذوا السيد تشين في جوله لمده ثلاثه ايام حول مينغبا ومع ذلك فقد وصل بالفعل تهديد وشيك,"['اكشن', 'كوميديا']"
عندما قررت مجموعه من الاصدقاء الاثرياء الاحتفال باطلاق شركتهم التكنولوجيه برحله الى كابو فانهم يحصلون على اكثر مما كانوا يساومون عليه عندما يعرض رجل غامض مرافقتهم على متن سفينه عائلته السياحيه القديمه بمجرد الصعود على متن السفينه تتضح الدوافع الخفيه للعائله ويتم مطارده الاصدقاء تلو الاخر مع تقطع السبل بالجميع في البحر مع القليل من الامل وعدم وجود اتصال بالعالم الخارجي ينخرط فريق خفر السواحل في مواجهه قاتله اخيره,"['اثارة', 'رعب']"
بعد ان فقد رجل طفلتهيبدا حمله لتدمير المجرمين ذوي الياقات البيضاء الذين يقفون وراء وباء المواد الافيونيه ويستمر في التطهير وهدفه هو القضاء عليهم,['اثارة']
محقق جرائم خاص يشكل رابطه غير محتمله مع قاتل متسلسل لاسقاط نقابه عالميه لتهريب الاطفال,"['جريمة', 'دراما']"
حلت خبيره الطب الشرعي تشينغ لينغ العديد من القضايا الغامضه لكن الظروف المحيطه باصلها غامضه اراد شقيقها الاصغر معرفه ذلك لكنه اختفى في مدينه شانغشوي للعثور على شقيقها ذهبت تشينغ لينغ بنفسها الى بلده شانغشوي النائيه والغريبه وشهدت مقتل بحيره الوحش الشرير في المدينه لمعرفه الحقيقه ذهب تشينغ لينغ الى المنطقه المحظوره,"['اكشن', 'رعب']"
روائي شهير محبط من الوهم غير قادر على التحدث اثناء التعافي في منزله الجبلي البعيد من جراحه ترميميه في الفك يتعرض لسر يهدد حياته عندما يتلقى زياره غير متوقعه من ابنته المنفصله,"['اثارة', 'رعب']"
سيد الكونغ فو القائم على الاسلحه غير المسلحه على مواجهه ماضيه بعد انجرار الى منظمه,"['اكشن', 'مغامرات']"
بعد اقتحام مميت لمنزل احلامهما الجديد تبحث الزوجه التي للصدمه عن اجابات تكتشف الخطر الحقيقي قد بدا,"['اثارة', 'دراما']"
من المحارب البارع واللقاءات اللطيفه الى النزهات بعد الانفجارات الهائله يستكشف نجوم وخبراء صناعه الافلام قصص السينما المبتذله ويسخرون منها,['كوميديا']
حين كذبه بيضاء الى نتائج غير يصبح جينغ يوشينغ وتشين تشين صديقين الى مواجهه الواقع القاسي لمرحله النضوج,['دراما']
من اجل القبض على العصابه الاجراميه لرب المخدرات تان شياوشان يتربص بجانب تان زيلونج ابن تان شياوشان الوحيد وينقذ حياه تان زيلونج ويكتسب ثقه تان زيلونج انقذت تشين تشانغبينغ شياو مي وابنها الذي دمر تاجر مخدرات عائلتهما,"['اكشن', 'جريمة']"
في هذه المختارات من القشعريره والاثاره والقتل تعلم ممارس الفنون السحريه اساسيات حرفتها اهم درس يجب ان تكون على درايه بنيتك خمسه من عملائها على وشك تعلم ذلك بالطريقه الصعبه امراه تتطلع الى تغيير حظها تتورط في لعبه خطيره في السعي لتحقيق العداله يتحول الرجل الى وحش في محاوله لتصحيح الخطا تنقذ امراه قطه ضاله يتمزق الاب والابن عندما تذهب نكته الى ابعد الحدود تحتاج الفتاه الصغيره الى الحمايه من الشياطين في حياتها نعلم ان الطريق الى الجحيم مرصوف بالنوايا الحسنه فالى اين يقودنا الطريق عندما تكون نواياك خطيره,['رعب']
عندما ينتشر فيروس الزومبي يجب ان تتحد مجموعه من ركاب المصعد المحاصرين للحصول على فرصه قتاليه للبقاء على قيد الحياه ضد متسابق مصاب والحشد الذكي الذي ينتظرهم في الخارج,"['اثارة', 'رعب']"
في المستقبل القريب يتم ارسال طيار طائره بدون طيار الى منطقه عسكريه مميته ويجب ان يعمل مع ضابط اندرويد لتحديد موقع جهاز يوم القيامه,"['اكشن', 'مغامرات']"
بعد خساره ماساويه لكلا الوالدين تيم هارت البالغ من العمر على العيش مع عمه غير الناضج للغايه ماكس وهو ساحر من الدرجه الثانيه والذي بمساعده ابن اخيه يحاول ان يرعى يده الاخيره في الحب,['دراما']
يتعاون ضابطي الشرطه ديريك وباكستر في مهمه لتعقب قاتل متسلسل غامض ليسقط الثنائي في العديد من الاختبارات والماضي المظلم الذي يطاردهما,"['اثارة', 'جريمة', 'دراما']"
قصه حب محيره للعقل تتبع جريج الذي بعد ان طلق ثم منه قابل ايزابيل الغامضه وهي امراه تعيش في الشوارع ومقتنعه بان العالم الملوث والمكسور من حولهم هو مجرد محاكاه كمبيوتر في البدايه اكتشف جريج في النهايه انه قد يكون هناك بعض الحقيقه في مؤامره ايزابيل البريه,['دراما']
بيل اونيل يتسلل الى الفهود السود بواسطه عميل مكتب التحقيقات الفيدرالي ميتشل وجيه ادغار هوفر مع صعود رئيس فرقه بلاك بانثر فريد هامبتون وسقوطه في حب زميل ثوري في الطريق كانت معركه اجور روح اونيل,['دراما']
عندما تصبح ميا نجمه وسائل التواصل الاجتماعي لحمله ارهاب على الانترنت يتعين عليها حل سلسله من الالعاب لمنع الاشخاص الذين تهتم بهم من التعرض للقتل لكن هل هذا حقيقي ام انها مجرد لعبه على حسابها,['رعب']
جيسون هيل المخضرم المزين والمصاب باضطراب ما بعد الصدمه يلتقي بزوجته جينيفر لتناول طعام الغداء في مستشفى شؤون المحاربين القدامى حيث تعمل بعد استدعاء جينيفر لاجراء مشاورات طارئه مع رئيس هيئه الاركان المشتركه للجيش الامريكي تم احتجاز المستشفى كرهينه من قبل ارهابيين مدججين بالسلاح يصبح جايسون خط الدفاع الاخير ويجب عليه محاربه الارهابيين واضطراب ما بعد الصدمه الذي تسبب به الشياطين لانقاذ زوجته والجنرال وطاقم المستشفى والمرضى,"['اثارة', 'اكشن']"
في القرن الماضي يتجاوز تاثير مدام كلود في باريس عالم البغاء الحال مع ظهور امراه بتغيير شيء,"['جريمة', 'دراما']"
تدور الاحداث في اطار من الحركه حيث يسير جون كلارك الجندي بالبحريه في طريقه للانتقام من كل من تسبب في قتل زوجته ليجد نفسه امام مؤامره كبيره غير متوقعه,"['اثارة', 'اكشن', 'مغامرات']"
تبدا جثث رواد الشاطئ في غسلها على الشاطئ اثناء الافتتاح الكبير لمنتجع جديد بنتائج وخيمه,['رعب']
شاهد قاتل مراهق يجد نفسه من قبل قاتلين توامين في بريه مونتانا مع خبير نجاه مكلف بحمايته وحريق غابه يهدد باستهلاكهم,"['اثارة', 'اكشن', 'دراما']"
غير لامعكاتب ومخرج معروفيعاني من تجربه مؤلمهمما يؤدي الى خوفه المميت من الخروجلذلك قرر ان يحاول الكتابهمباشرهونجم في فيلم روائي طويلكلها من شقته,"['دراما', 'كوميديا']"
يحقق ال وارنز في جريمه قتل قد تكون مرتبطه بحيازه شيطانيه,"['اثارة', 'رعب']"
يتم اختطاف امراه شابه من قبل مجموعه غريبه من مهربي البشر الذين يستخدمون المخدرات والتحكم في العقل القائم على الصدمات لتحويل النساء الى صوفيا محاصره في كابوس يقظ تحارب من اجل طريقه للهروبلتجنب ان تصبح,['رعب']
بعد سنتين من مقتل ابنه ووالده يشرع قاتل ماجور متقاعد في تنفيذ خطه بعنايه للانتقام من اخيه ذلك القاتل الذي غدر بالعائله,"['اكشن', 'جريمة', 'مغامرات']"
يتم جمع مجموعه من المجرمين في ظل ظروف غامضه وعليهم العمل للكشف عما يحدث بالفعل عندما تسير مهمتهم البسيطه بشكل جانبي,"['جريمة', 'دراما']"
تحدث اشياء غريبه في ولايه كنتاكي المعروفه بشكل اساسي بانتاجها الضخم للذره يظهر ضحايا الوحوش في حقول الذره ويقول الشهود ان هؤلاء الضحايا بسبب وجوداسماك قرش بيضاء كبيره متواجده هناك,['رعب']
بعد نهب موقع دفن هنود حمر اصليين استيقظت لعنه قديمه يسمى مغيري الجلود وهو شيطان متغير الشكل يعود للانتقام,['اثارة']
بعد نهايه العالممنعزله حزينه تزوره امراه يائسه تسحبه من منزلهويجبره على مواجهه الاضطرابات الداخليه,"['اثارة', 'دراما']"
يتناول العمل قصه عائلتان متنافستان تتحكم كل منهما في امبراطوريتها الاعلاميه في مدينه نيويورك وتزداد الامور صعوبه بينهما حينما يتجاهل الابناء المراهقون الخلاف ويقعون في الحب,"['اكشن', 'جريمة', 'كوميديا']"
المتخصص السابق في الاستخراج العسكري ماركوس لومباردي الذي كانت فرصته الوحيده لانقاذ اخته المخبره وعائلتها هي تعقب حقيبه غامضه,['اكشن']
يعيش جاي في عالم غريب بمهنه صراف في احد البنوك وتزداد مخاوفه في الحياه حينما يشك انه يعيش داخل لعبه فيديو ليدخل في سباق مع الزمن لانقاذ لعبه الفيديو قبل قيام مطوريها باغلاقها,"['اكشن', 'كوميديا']"
يجد مجموعه من الاصدقاء انفسهم مطاردون في الكهوف بواسطه مخلوق من عالم اخر,"['اثارة', 'رعب']"
ظهرت المركبه الفضائيه الاستكشافيه بين النجوم ديب سبيس التي اختفت بشكل غامض قبل فجاه في مدار ارضي منخفض شكلت وكاله الفضاء البشريه لجنه مؤقته للتحقيق واستجواب الناجي الوحيد تجربه الرعب في ديب سبيس تتطور ببطء,['اثارة']
ماديسون من سلسله من الاحلام والرؤى الغريبه والمرعبه عن جرائم قتل في اماكن تفرقه ويزداد عذابها حينما تكتشف حدوث كل ما تراه من جرائم بالعالم الحقيقي,"['اثارة', 'جريمة', 'رعب']"
عندما كان اي بي مان يدرس في هونغ كونغ خلال سنوات شبابه تورط بطريق الخطا في قضيه اختطاف الشركه البريطانيه ستار للصناعات لنساء صينيات ليتم الاتجار بهن في الخارج يخرج اي بي مان ويقاتل الغربيين حارب محاربي باتون البريطانيين ثلاث مرات واستخدم وينج تشون للدفاع عن كرامه الصينيين الذين تم دهسهم,['اكشن']
تقع تولاني في شباك ضغوط الحياه في لاغوس نيجيريا في الثمانينيات في تهريب مع صديقتها وعليها مواجهه العواقب,"['اثارة', 'دراما']"
يامل صانع افلام شاب ان يجد الحب من خلال المواعده عبر الانترنت اذا كان بامكانه فقط ابقاء الوسواس القهري لديه,['كوميديا']
سائق امراتين غامضتين لقضاء ليله فيها بين الحفلات وحين تكشف الراكبتان عن حقيقتهما عليه القتال على حياته,"['اثارة', 'اكشن', 'جريمة', 'دراما', 'رعب']"
يعود وكيل هوليوود الناجح برايس ديكسون الى الاباما لاول مره منذ من اجل لم شمله في المدرسه الثانويه عندما يعلم انه الوحيد من اصدقائه غير متزوج وبدون اطفال يقنع زبونته النجمه ماديسون بيل بالتظاهر بانها صديقته لكنه سرعان ما يتعلم ان للنجاح معاني مختلفه وان الرومانسيه قد تكون اقرب مما يعتقد,"['دراما', 'كوميديا']"
ياخذ استاذ غريب الاطوار اربعه من طلابه الى قصر ماد هاتر وهي اسطوره حضريه يدفعها الى الجنون التسمم بالزئبق والحزن يقول انه لا يوجد ما يدعو للقلق الان القائمين على الرعايه الغريبين الفاسدين الذين يطاردون المنزل هم مجرد خدم وقعوا في زواج الاقارب وقد مات حتر نفسه منذ سنوات ولكن عندما يبدا الطلاب في الاختفاء تلو الاخر يبدا اولئك الذين بقوا في التساؤل عما اذا كانت تجربه الاستاذ علميه واذا لم يستسلم حتر لجنونه فحسب بل قرر نشره,"['اثارة', 'رعب']"
عالم بائس حيث لا توجد نساء ويمكن لجميع الكائنات الحيه سماع افكار بعضها البعض في سلسله من الصوركلماتواصوات تسمى الضوضاء,['مغامرات']
زاك سنايدر مخرج ملحمه فريق العداله تاكد من ان تضحيه سوبرمان النهائيه لم تذهب سدى يحاول بروس واين توحيد القوات مع ديانا برينس في خطه لتجنيد فريق من البشر لحمايه العالم من تهديد يقترب بنسب كارثيه,"['اكشن', 'مغامرات']"
الفريد بوجي تشين هي ظاهره كره سله تعيش في كوينز نيويورك ويحلم بان يلعب ما في الدوري الاميركي للمحترفين بينما يضغط عليه والديه للتركيز على الحصول على منحه دراسيه من كليه النخبه يجب على ايجاد طريقه للتنقل بين صديقه جديده ومدرسه ثانويه ومنافسين في الملعب وعبء التوقع,['دراما']
في عالم ينتشر فيه الاشرار الفائقون يجتمع صديقان مبعثران في مرحله الطفوله بعد ان يبتكر احدهما يمنحهما صلاحيات لحمايه مدينتهما,"['اكشن', 'كوميديا', 'مغامرات']"
لقاء بارت المصادفه مع فيينا الغامضه يؤدي الى عطله نهايه اسبوع رائعه يسقط الاثنان بسرعه وبصعوبه لكن كلاهما يحمل يمكن ان تكون بمثابه تراجع او فرصه لبدايه جديده,['كوميديا']
يتامر فريق من المرتزقه لسرقه مليار دولار من الاموال المغسولهبعد ان تم تجاوزهايجدون ملجا في وسط اللا مكان مع عائله غامضه تحمل ان رجل المنزل مخلوق من الظلام وعليهم القتال من اجل البقاء على قيد الحياه في الليل,"['اثارة', 'اكشن', 'رعب']"
بعد سنتين من مقتل ابنه ووالده يشرع قاتل ماجور متقاعد في تنفيذ خطه بعنايه للانتقام من اخيه ذلك القاتل الذي غدر بالعائله,"['اكشن', 'جريمة', 'مغامرات']"
ماضي كينشين يلحق به ما تسبب في تدمير مطعم اكابيكوالذي كان مكان كينشين المفضل لتناول الطعامهناكوجد ملاحظه بكلمه,"['اكشن', 'دراما', 'مغامرات']"
قصه فتاه تبلغ من العمر سته عشر وهي فتاه موهوبه وصديقها المفضل كلاهما اجروا تجارب وعملوا على ورقه وفازوا بجائزه في النمذجه الرياضيه ذهب الزوجان الى سان فرانسيسكو للدراسه في الخارج ولكن من خلال بعض سوء الفهم انفصلا هل سيجدون طريقهم الى بعضهم البعض ام سيجدون في مكان اخر,['دراما']
يستيقظ ناشط بيئي شابمحاصراختطفت في مصعد بنايه شاهقه تحت رحمه جلاديها,['اثارة']
انتهت للتو حفله شاطئيه مفعمه بالحيويه وكان الجميع لا يزالون يعانون من الجوع لكن اجتاحتهم تسونامي غير متوقع فندق الجزيره على الفور في مياه البحر وتسلل سمكه قرش عملاقه الى الفندق اندلعت معركه كبيره بين الرجل وسمك القرش على الفور قاد وانغ لي الجميع للنجاه من سمكه القرش,['اكشن']
يتناول العمل السيره الذاتيه للقاتل الشهير تيد بندي والعلاقه التي جمعته بمحلل مكتب التحقيقات الفيدرالي بيل هاجماير خلال السنوات الاخيره لبندي وانتظاره لتنفيذ حكم الاعدام,"['جريمة', 'دراما']"
يجد سته اشخاص انفسهم عن غير قصد محبوسين في سلسله اخرى من غرف الهروب ويكشفون ببطء عما يجمعهم من اجل البقاء على قيد الحياه بتوحيد قواهم مع اثنين من الناجين الاصليين سرعان ما يكتشفون انهم لعبوا اللعبه من قبل,"['اثارة', 'اكشن', 'رعب', 'مغامرات']"
حين ابنه اثناء نزهه على الجبال الثلجيه لن يتوانى ضابط استخبارات متقاعد عن فعل ما في وسعه وسيخاطر شيء في سبيل العثور عليه,['دراما']
تخرج حياه نجم بوب صاعد عن السيطره حين مقطع له فيدفعه الى القتال من اجل الخلاص على مدار ليله طويله,"['اثارة', 'جريمة', 'دراما', 'كوميديا']"
بعد انتقاله الى منزل معزول يختفي يعقوب تايلور دون ان يترك اثرا بمساعده اللقطات التي يتركها وراءه يحاول افراد عائلته واصدقائه والمحقق العثور على اجابات للاحداث الغريبه التي تدور حوله,"['دراما', 'رعب']"
عندما تدخل باريس في حاله اغلاق خلال الجائحه على المبنى السكني غريبي الاطوار مع الحياه الجديده ومع بعضهم,['كوميديا']
في العالم المشحون والوحشي والفكاهي لجيمس ويتمان البالغ من العمر سته عشر فان كفاحه للتغلب على القلق والاكتئاب ينطوي على طلب المشوره من دكتور بيرد معالج حمام خيالي عملاق,['دراما']
بينما تذهب مجموعه من الاصدقاء للتنزه في طريق الابلاش يظهر لهم مجتمع من البشر الذين عاشوا في الجبال منعزلين لمئات السنين لتبدا معركه دمويه للبحث عن النجاه,"['اثارة', 'رعب']"
تهرب اميلي من علاقه مسيئه بالرجوع الى مسقط راسها فقط لتكتشف ان لديها فقدته منذ فتره طويلهلكن اختها الجديده قد تكون قاتله,['اثارة']
لص شاب يصور منزل احلام معماري في ماليبوغير مدركين انه منزل قاتله متسلسله غريبه الاطوار,['كوميديا']
تتعرض عائله وكيل وحده مكافحه المخدرات للاختطاف مايجعله يقوم بالمستحيل لانقاذ عائلته من ايدي المخدرات,"['اكشن', 'جريمة', 'دراما']"
جزء من سيتم انتاجه في خلال عام يحكي هذا الفيلم قصه تكساس ريدرجل امريكي من اصل افريقي تم اصطياده بواسطه المئات عبر بريه المسيسيبي الشتويه,['اكشن']
بعد تعلم فنون الدفاع عن النفس يعود فونغ ساي يوك الى تشوقنج ويتورط على الفور في قضيه فساد امر حاكم البوابات التسعه بقياده فرقه لقتل الشهود وتدمير الادله اصدقاء فونغ ساي يوك واعتقل والديه وفي مواجهه مثل هذه التحديات قرر هو ولوي تينغ تينغ محاربه الاشرار بكل ما لديهم,['اكشن']
يتناول العمل قصه ثلاثه شخصيات تاجر مخدرات مشهور ومهندس محترف ودكتور جامعي تجمعهم الظروف في مغامره من اجل انتاج مسكن للالم لا يحتوي على مواد مخدره,"['اثارة', 'دراما']"
تنقلب حياه لوتي العاشقه للرومانسيه على عقب حين تنهار خططها لاقامه حفل زفاف مثالي ذلك مع خطبه شقيقتها المهووسه بذاتها,['كوميديا']
حراسه فائقه القوه تحارب منظمه لتحرير المدينه من الظلام,['اكشن']
يواجه طاقم مكون من ثلاثه افراد في مهمه الى المريخ عندما يعرض راكب غير مخطط له حياه كل من على متنه للخطر,"['اثارة', 'دراما']"
انمتزوج من وزير بلده صغيرهتشعر ان حياتها تتقلص خلال الثلاثين الماضيهمواجهه السيد ومع ذلكالتغيير ياتي مع عدد كبير من الجثث,['رعب']
يقوم مجرم وعبقري بتنفيذ خطه صادمه لسفك الدماء من جديد ليجد ضابط وزميله انفسهما في مواجهه جرائم,"['جريمة', 'رعب']"
فتاه جامعيهالدراسه في الخارج في اوروبايتعثر على جريمه قتل في التقدممدبره من قبل خليه ارهابيهتعريض حياتها للخطر بصفتها الشاهده الرئيسيه,"['اثارة', 'اكشن', 'جريمة']"
مجموعه من القتله يقتحمون احد المنازل اثناء تواجد جليسه الاطفال وعلى جليسه الاطفال النجاه ومواجهتهم لانقاذ العائله,"['اثارة', 'رعب']"
فتاه تبلغ من العمر منبوذه في بلدتها الصغيره لشيء لم تفعله عندما يكون هناك عدد كبير من المراهقين المفقودين فانها تتدخل مع صديقها المقرب البالغ من العمر سنوات لمعرفه ما يحدث مستوحى من الاسطوره الحضريه اطفال بلاك ايد,['رعب']
زوجان شابان يكافحان للبقاء عليهم صفقه رائعه على منزل ذي مشكوك فيه يكون خارج امكانياتهمفي محاوله اخيره للبدء من جديد كزوجين ياخذان الصفقه,"['اثارة', 'دراما', 'رعب']"
خلال فتره ازدهار اسره تانغ حدث شذوذ التنين الشرير في بركه تشوجيانغ مما تسبب في اصابه سكان تشانغان بالصلع بين عشيه وضحاها طار الامبراطور في حاله من الغضب حقق قاضي مقاطعه هوانجهي وانج شوان في القضيه واكتشف مؤامره مذبحه المدينه والتي شكلت على سلامه الامبراطور تسلل وانغ شوان الى طائفه ملك التنين بعد ذلك فك لغز الكارب الذهبي وراى خطه مذبحه المدينه في النهايه اكتشف الحقيقه ونجح في انقاذ الامبراطور وحمايه شعب تشانغان,['اكشن']
